"Rk▲","Team","FG","FGA","FG%","3P","3PA","3P%","FT","FTA","FT%","ORB","DRB","TRB","AST","STL","BLK","TOV","PF","PTS","Year","Num_Teams"
NA,"Denver Nuggets*",41.9,90,0.466,11,31.4,0.351,15.8,20.9,0.755,11.9,34.5,46.4,27.4,7.7,4.4,13.4,20,110.7,2019,30
NA,"Charlotte Hornets",40.2,89.8,0.448,11.9,33.9,0.351,18.4,23.1,0.797,9.9,33.9,43.8,23.2,7.2,4.9,12.2,18.9,110.7,2019,30
NA,"Dallas Mavericks",38.8,86.9,0.447,12.5,36.6,0.34,18.8,25.3,0.742,10.1,35.2,45.3,23.4,6.5,4.3,14.2,20.1,108.9,2019,30
NA,"Indiana Pacers*",41.3,87,0.475,9.5,25.4,0.374,15.8,21.1,0.752,9.3,33.7,43,26,8.7,4.9,13.7,19.4,108,2019,30
NA,"Phoenix Suns",40.1,87.4,0.459,9.6,29.3,0.329,17.6,22.7,0.779,9.1,31.3,40.4,23.9,9,5.1,15.6,23.6,107.5,2019,30
NA,"Orlando Magic*",40.4,89.1,0.454,11.4,32.1,0.356,15,19.2,0.782,10,35.4,45.4,25.5,6.6,5.4,13.2,18.6,107.3,2019,30
NA,"Detroit Pistons*",38.8,88.3,0.44,12.1,34.8,0.348,17.3,23.1,0.747,11.4,33.6,45,22.5,6.9,4,13.8,22.1,107,2019,30
NA,"Miami Heat",39.6,88,0.45,11.3,32.4,0.349,15.1,21.7,0.695,11.2,35.1,46.3,24.3,7.6,5.5,14.7,20.9,105.7,2019,30
NA,"Chicago Bulls",39.8,87.9,0.453,9.1,25.9,0.351,16.2,20.7,0.783,8.8,34.1,42.9,21.9,7.4,4.3,14.1,20.3,104.9,2019,30
NA,"New York Knicks",38.2,88.3,0.433,10,29.5,0.34,18.1,23.9,0.759,10.5,34.3,44.7,20.1,6.8,5.1,14,20.9,104.6,2019,30
NA,"Cleveland Cavaliers",38.9,87.6,0.444,10.3,29.1,0.355,16.4,20.7,0.792,10.7,31.9,42.7,20.7,6.5,2.4,13.5,20,104.5,2019,30
NA,"Memphis Grizzlies",38,84.4,0.45,9.9,28.9,0.342,17.7,23,0.772,8.8,33,41.8,23.9,8.3,5.5,14,22,103.5,2019,30
NA,"League Average",41.1,89.2,0.461,11.4,32,0.355,17.7,23.1,0.766,10.3,34.8,45.2,24.6,7.6,5,14.1,20.9,111.2,2019,30
NA,"Milwaukee Bucks*",43.3,90.9,0.476,13.8,38.9,0.355,18.3,24.7,0.742,9.5,42.2,51.7,25.9,7.2,5.9,15.1,19.6,118.7,2020,30
NA,"Houston Rockets*",40.8,90.4,0.451,15.6,45.3,0.345,20.6,26.1,0.791,9.8,34.5,44.3,21.6,8.7,5.2,14.7,21.8,117.8,2020,30
NA,"Dallas Mavericks*",41.7,90.3,0.461,15.1,41.3,0.367,18.6,23.8,0.779,10.5,36.4,46.9,24.7,6.1,4.8,12.7,19.5,117,2020,30
NA,"Los Angeles Clippers*",41.6,89.2,0.466,12.4,33.5,0.371,20.8,26.3,0.791,10.7,37,47.7,23.7,7.1,4.7,14.6,22.1,116.3,2020,30
NA,"New Orleans Pelicans",42.6,91.6,0.465,13.6,36.9,0.37,17.1,23.4,0.729,11.1,35.4,46.5,26.8,7.5,5,16.4,21.2,115.8,2020,30
NA,"Portland Trail Blazers*",42.2,91.2,0.463,12.9,34.1,0.377,17.7,22.1,0.804,10.2,35.1,45.3,20.6,6.3,6.1,12.8,21.7,115,2020,30
NA,"Washington Wizards",41.5,90.9,0.457,12,32.6,0.368,19.4,24.6,0.788,10.2,31.9,42,25,8,4.3,14.2,22.7,114.4,2020,30
NA,"San Antonio Spurs",42.2,89.4,0.472,10.7,28.5,0.376,19,23.4,0.81,9,35.6,44.6,24.7,7.3,5.5,12.6,19.4,114.1,2020,30
